NO2_t-1,NO2_t+1,NO2_t+2,NO2_t+3
2.7279561867568165e-05,2.592746204754804e-05,2.546022378737689e-05,1.8114491798438724e-05
3.10034035506264e-05,2.546022378737689e-05,1.8114491798438724e-05,2.5587049094610848e-05
2.592746204754804e-05,1.8114491798438724e-05,2.5587049094610848e-05,2.184428058171761e-05
2.546022378737689e-05,2.5587049094610848e-05,2.184428058171761e-05,1.844185302009767e-05
1.8114491798438724e-05,2.184428058171761e-05,1.844185302009767e-05,1.613278868717316e-05
2.5587049094610848e-05,1.844185302009767e-05,1.613278868717316e-05,3.0506891789627844e-05
2.184428058171761e-05,1.613278868717316e-05,3.0506891789627844e-05,2.4052010758168763e-05
1.844185302009767e-05,3.0506891789627844e-05,2.4052010758168763e-05,2.160298314872004e-05
1.613278868717316e-05,2.4052010758168763e-05,2.160298314872004e-05,2.6788155613151805e-05
3.0506891789627844e-05,2.160298314872004e-05,2.6788155613151805e-05,4.016252651953519e-05
2.4052010758168763e-05,2.6788155613151805e-05,4.016252651953519e-05,2.5951273124115283e-05
2.160298314872004e-05,4.016252651953519e-05,2.5951273124115283e-05,2.2897770375291453e-05
2.6788155613151805e-05,2.5951273124115283e-05,2.2897770375291453e-05,1.9844267626467627e-05
4.016252651953519e-05,2.2897770375291453e-05,1.9844267626467627e-05,2.322495240352712e-05
2.5951273124115283e-05,1.9844267626467627e-05,2.322495240352712e-05,2.515414295582256e-05
2.2897770375291453e-05,2.322495240352712e-05,2.515414295582256e-05,2.4563920027907847e-05
1.9844267626467627e-05,2.515414295582256e-05,2.4563920027907847e-05,2.0845683684456164e-05
2.322495240352712e-05,2.4563920027907847e-05,2.0845683684456164e-05,2.365067969852437e-05
2.515414295582256e-05,2.0845683684456164e-05,2.365067969852437e-05,2.1885984779146384e-05
2.4563920027907847e-05,2.365067969852437e-05,2.1885984779146384e-05,2.590288765228858e-05
2.0845683684456164e-05,2.1885984779146384e-05,2.590288765228858e-05,2.929192002435836e-05
2.365067969852437e-05,2.590288765228858e-05,2.929192002435836e-05,2.737848035394564e-05
2.1885984779146384e-05,2.929192002435836e-05,2.737848035394564e-05,3.2469764998192353e-05
2.590288765228858e-05,2.737848035394564e-05,3.2469764998192353e-05,2.301989078053641e-05
2.929192002435836e-05,3.2469764998192353e-05,2.301989078053641e-05,3.8901937235399e-05
2.737848035394564e-05,2.301989078053641e-05,3.8901937235399e-05,3.0040417836322115e-05
3.2469764998192353e-05,3.8901937235399e-05,3.0040417836322115e-05,1.3574691365647595e-05
2.301989078053641e-05,3.0040417836322115e-05,1.3574691365647595e-05,2.512442006263882e-05
3.8901937235399e-05,1.3574691365647595e-05,2.512442006263882e-05,2.143302208423848e-05
3.0040417836322115e-05,2.512442006263882e-05,2.143302208423848e-05,1.7710316384670292e-05
1.3574691365647595e-05,2.143302208423848e-05,1.7710316384670292e-05,2.0585529167858736e-05
2.512442006263882e-05,1.7710316384670292e-05,2.0585529167858736e-05,2.4795933313725985e-05
2.143302208423848e-05,2.0585529167858736e-05,2.4795933313725985e-05,1.3757770129056247e-05
1.7710316384670292e-05,2.4795933313725985e-05,1.3757770129056247e-05,1.483510360148185e-05
2.0585529167858736e-05,1.3757770129056247e-05,1.483510360148185e-05,2.3460741951047176e-05
2.4795933313725985e-05,1.483510360148185e-05,2.3460741951047176e-05,3.950773937807147e-05
1.3757770129056247e-05,2.3460741951047176e-05,3.950773937807147e-05,1.985120206882129e-05
1.483510360148185e-05,3.950773937807147e-05,1.985120206882129e-05,2.246652813179632e-05
2.3460741951047176e-05,1.985120206882129e-05,2.246652813179632e-05,2.701887547118531e-05
3.950773937807147e-05,2.246652813179632e-05,2.701887547118531e-05,3.058694111738684e-05
1.985120206882129e-05,2.701887547118531e-05,3.058694111738684e-05,2.662892490791689e-05
2.246652813179632e-05,3.058694111738684e-05,2.662892490791689e-05,1.934600716898179e-05
2.701887547118531e-05,2.662892490791689e-05,1.934600716898179e-05,2.346962158602157e-05
3.058694111738684e-05,1.934600716898179e-05,2.346962158602157e-05,2.7593236003061367e-05
2.662892490791689e-05,2.346962158602157e-05,2.7593236003061367e-05,2.356543882342521e-05
1.934600716898179e-05,2.7593236003061367e-05,2.356543882342521e-05,2.392798671735364e-05
2.346962158602157e-05,2.356543882342521e-05,2.392798671735364e-05,2.574530753918225e-05
2.7593236003061367e-05,2.392798671735364e-05,2.574530753918225e-05,2.500097927319681e-05
2.356543882342521e-05,2.574530753918225e-05,2.500097927319681e-05,2.633987840757376e-05
2.392798671735364e-05,2.500097927319681e-05,2.633987840757376e-05,2.285499416151045e-05
2.574530753918225e-05,2.633987840757376e-05,2.285499416151045e-05,3.078454437854816e-05
2.500097927319681e-05,2.285499416151045e-05,3.078454437854816e-05,3.679438790034813e-05
2.633987840757376e-05,3.078454437854816e-05,3.679438790034813e-05,2.33450280878363e-05
2.285499416151045e-05,3.679438790034813e-05,2.33450280878363e-05,2.0530936808427214e-05
3.078454437854816e-05,2.33450280878363e-05,2.0530936808427214e-05,3.014428042054836e-05
3.679438790034813e-05,2.0530936808427214e-05,3.014428042054836e-05,1.666285925239208e-05
2.33450280878363e-05,3.014428042054836e-05,1.666285925239208e-05,2.91756956964188e-05
2.0530936808427214e-05,1.666285925239208e-05,2.91756956964188e-05,2.32757215599122e-05
3.014428042054836e-05,2.91756956964188e-05,2.32757215599122e-05,2.6456195579764124e-05
1.666285925239208e-05,2.32757215599122e-05,2.6456195579764124e-05,2.7959883179088745e-05
2.91756956964188e-05,2.6456195579764124e-05,2.7959883179088745e-05,2.566767019137236e-05
2.32757215599122e-05,2.7959883179088745e-05,2.566767019137236e-05,2.5933572639284343e-05
2.6456195579764124e-05,2.566767019137236e-05,2.5933572639284343e-05,2.9802081977929145e-05
2.7959883179088745e-05,2.5933572639284343e-05,2.9802081977929145e-05,3.069234216210052e-05
2.566767019137236e-05,2.9802081977929145e-05,3.069234216210052e-05,2.7980916759891745e-05
2.5933572639284343e-05,3.069234216210052e-05,2.7980916759891745e-05,2.5933572639284343e-05
2.9802081977929145e-05,2.7980916759891745e-05,2.5933572639284343e-05,2.3886228518676944e-05
3.069234216210052e-05,2.5933572639284343e-05,2.3886228518676944e-05,2.519746143055575e-05
2.7980916759891745e-05,2.3886228518676944e-05,2.519746143055575e-05,2.4968777627994616e-05
2.5933572639284343e-05,2.519746143055575e-05,2.4968777627994616e-05,1.4073498797578003e-05
2.3886228518676944e-05,2.4968777627994616e-05,1.4073498797578003e-05,2.562989417735177e-05
2.519746143055575e-05,1.4073498797578003e-05,2.562989417735177e-05,2.2921349985457105e-05
2.4968777627994616e-05,2.562989417735177e-05,2.2921349985457105e-05,3.253205861917443e-05
1.4073498797578003e-05,2.2921349985457105e-05,3.253205861917443e-05,2.4006873404273804e-05
2.562989417735177e-05,3.253205861917443e-05,2.4006873404273804e-05,2.788584197332966e-05
2.2921349985457105e-05,2.4006873404273804e-05,2.788584197332966e-05,2.4204038102955867e-05
3.253205861917443e-05,2.788584197332966e-05,2.4204038102955867e-05,2.407422306305307e-05
2.4006873404273804e-05,2.4204038102955867e-05,2.407422306305307e-05,2.403784681822193e-05
2.788584197332966e-05,2.407422306305307e-05,2.403784681822193e-05,3.1899803313232646e-05
2.4204038102955867e-05,2.403784681822193e-05,3.1899803313232646e-05,3.2646526202976624e-05
2.407422306305307e-05,3.1899803313232646e-05,3.2646526202976624e-05,4.163811263424577e-05
2.403784681822193e-05,3.2646526202976624e-05,4.163811263424577e-05,2.6791362870426383e-05
3.1899803313232646e-05,4.163811263424577e-05,2.6791362870426383e-05,3.7748916080696894e-05
3.2646526202976624e-05,2.6791362870426383e-05,3.7748916080696894e-05,2.1284330766017472e-05
4.163811263424577e-05,3.7748916080696894e-05,2.1284330766017472e-05,2.6088673786778767e-05
2.6791362870426383e-05,2.1284330766017472e-05,2.6088673786778767e-05,3.055937883221883e-05
3.7748916080696894e-05,2.6088673786778767e-05,3.055937883221883e-05,2.7456055613583884e-05
2.1284330766017472e-05,3.055937883221883e-05,2.7456055613583884e-05,2.426676049556894e-05
2.6088673786778767e-05,2.7456055613583884e-05,2.426676049556894e-05,2.386483706548902e-05
3.055937883221883e-05,2.426676049556894e-05,2.386483706548902e-05,2.3090154475842912e-05
2.7456055613583884e-05,2.386483706548902e-05,2.3090154475842912e-05,1.0648768920873408e-05
2.426676049556894e-05,2.3090154475842912e-05,1.0648768920873408e-05,1.7170295298759204e-05
2.386483706548902e-05,1.0648768920873408e-05,1.7170295298759204e-05,3.136322569237867e-05
2.3090154475842912e-05,1.7170295298759204e-05,3.136322569237867e-05,3.210183767047663e-05
1.0648768920873408e-05,3.136322569237867e-05,3.210183767047663e-05,3.284044964857458e-05
1.7170295298759204e-05,3.210183767047663e-05,3.284044964857458e-05,2.937654941585303e-05
3.136322569237867e-05,3.284044964857458e-05,2.937654941585303e-05,2.5681068291305564e-05
3.210183767047663e-05,2.937654941585303e-05,2.5681068291305564e-05,2.6549150607024782e-05
3.284044964857458e-05,2.5681068291305564e-05,2.6549150607024782e-05,3.031660950606844e-05
2.937654941585303e-05,2.6549150607024782e-05,3.031660950606844e-05,3.1904190715674e-05
2.5681068291305564e-05,3.031660950606844e-05,3.1904190715674e-05,3.907270204055951e-05
2.6549150607024782e-05,3.1904190715674e-05,3.907270204055951e-05,3.130044797217124e-05
3.031660950606844e-05,3.907270204055951e-05,3.130044797217124e-05,3.7280688350923206e-05
3.1904190715674e-05,3.130044797217124e-05,3.7280688350923206e-05,3.065892512192173e-05
3.907270204055951e-05,3.7280688350923206e-05,3.065892512192173e-05,3.47089806180318e-05
3.130044797217124e-05,3.065892512192173e-05,3.47089806180318e-05,3.875903611414186e-05
3.7280688350923206e-05,3.47089806180318e-05,3.875903611414186e-05,2.983136073453352e-05
3.065892512192173e-05,3.875903611414186e-05,2.983136073453352e-05,3.065409146074671e-05
3.47089806180318e-05,2.983136073453352e-05,3.065409146074671e-05,3.147682218695991e-05
3.875903611414186e-05,3.065409146074671e-05,3.147682218695991e-05,3.159812558806152e-05
2.983136073453352e-05,3.147682218695991e-05,3.159812558806152e-05,3.1719428989163134e-05
3.065409146074671e-05,3.159812558806152e-05,3.1719428989163134e-05,2.605553466613249e-05
3.147682218695991e-05,3.1719428989163134e-05,2.605553466613249e-05,2.4992714054061445e-05
3.159812558806152e-05,2.605553466613249e-05,2.4992714054061445e-05,2.39298934419904e-05
3.1719428989163134e-05,2.4992714054061445e-05,2.39298934419904e-05,2.4229397509274847e-05
2.605553466613249e-05,2.39298934419904e-05,2.4229397509274847e-05,2.452890157655929e-05
2.4992714054061445e-05,2.4229397509274847e-05,2.452890157655929e-05,3.8706730265403166e-05
2.39298934419904e-05,2.452890157655929e-05,3.8706730265403166e-05,3.335617875563912e-05
2.4229397509274847e-05,3.8706730265403166e-05,3.335617875563912e-05,3.33734210471448e-05
2.452890157655929e-05,3.335617875563912e-05,3.33734210471448e-05,2.971783154256021e-05
3.8706730265403166e-05,3.33734210471448e-05,2.971783154256021e-05,1.948420761740029e-05
3.335617875563912e-05,2.971783154256021e-05,1.948420761740029e-05,2.071595486086153e-05
3.33734210471448e-05,1.948420761740029e-05,2.071595486086153e-05,2.2021829964715936e-05
2.971783154256021e-05,2.071595486086153e-05,2.2021829964715936e-05,2.372257768001873e-05
1.948420761740029e-05,2.2021829964715936e-05,2.372257768001873e-05,2.775549516324342e-05
2.071595486086153e-05,2.372257768001873e-05,2.775549516324342e-05,2.761257054670649e-05
2.2021829964715936e-05,2.775549516324342e-05,2.761257054670649e-05,2.247481370432069e-05
2.372257768001873e-05,2.761257054670649e-05,2.247481370432069e-05,1.7448039216105826e-05
2.775549516324342e-05,2.247481370432069e-05,1.7448039216105826e-05,2.4462430701532867e-05
2.761257054670649e-05,1.7448039216105826e-05,2.4462430701532867e-05,2.7501588192535564e-05
2.247481370432069e-05,2.4462430701532867e-05,2.7501588192535564e-05,2.7834535255048348e-05
1.7448039216105826e-05,2.7501588192535564e-05,2.7834535255048348e-05,2.772355290087742e-05
2.4462430701532867e-05,2.7834535255048348e-05,2.772355290087742e-05,2.059284088318236e-05
2.7501588192535564e-05,2.772355290087742e-05,2.059284088318236e-05,2.488823990158077e-05
2.7834535255048348e-05,2.059284088318236e-05,2.488823990158077e-05,1.5799398689027426e-05
2.772355290087742e-05,2.488823990158077e-05,1.5799398689027426e-05,1.2122348574518003e-05
2.059284088318236e-05,1.5799398689027426e-05,1.2122348574518003e-05,1.5799398689027426e-05
2.488823990158077e-05,1.2122348574518003e-05,1.5799398689027426e-05,1.947644880353685e-05
1.5799398689027426e-05,1.5799398689027426e-05,1.947644880353685e-05,2.315349891804627e-05
1.2122348574518003e-05,1.947644880353685e-05,2.315349891804627e-05,2.5569727101397305e-05
1.5799398689027426e-05,2.315349891804627e-05,2.5569727101397305e-05,2.7985955284748343e-05
1.947644880353685e-05,2.5569727101397305e-05,2.7985955284748343e-05,2.371919222034856e-05
2.315349891804627e-05,2.7985955284748343e-05,2.371919222034856e-05,2.1280413837606225e-05
2.5569727101397305e-05,2.371919222034856e-05,2.1280413837606225e-05,2.424725971650332e-05
2.7985955284748343e-05,2.1280413837606225e-05,2.424725971650332e-05,2.3543169721630296e-05
2.371919222034856e-05,2.424725971650332e-05,2.3543169721630296e-05,1.8390296291828337e-05
2.1280413837606225e-05,2.3543169721630296e-05,1.8390296291828337e-05,2.407123721778506e-05
2.424725971650332e-05,1.8390296291828337e-05,2.407123721778506e-05,2.3895214719066807e-05
2.3543169721630296e-05,2.407123721778506e-05,2.3895214719066807e-05,1.8313567958709125e-05
1.8390296291828337e-05,2.3895214719066807e-05,1.8313567958709125e-05,2.1093664327054284e-05
2.407123721778506e-05,1.8313567958709125e-05,2.1093664327054284e-05,1.88386369776102e-05
2.3895214719066807e-05,2.1093664327054284e-05,1.88386369776102e-05,2.3564132789033465e-05
1.8313567958709125e-05,1.88386369776102e-05,2.3564132789033465e-05,2.221891932852789e-05
2.1093664327054284e-05,2.3564132789033465e-05,2.221891932852789e-05,1.4526893573929556e-05
1.88386369776102e-05,2.221891932852789e-05,1.4526893573929556e-05,2.315038038129084e-05
2.3564132789033465e-05,1.4526893573929556e-05,2.315038038129084e-05,2.7660435080179013e-05
2.221891932852789e-05,2.315038038129084e-05,2.7660435080179013e-05,2.2684649854909368e-05
1.4526893573929556e-05,2.7660435080179013e-05,2.2684649854909368e-05,2.3921450823157407e-05
2.315038038129084e-05,2.2684649854909368e-05,2.3921450823157407e-05,1.1258318409090862e-05
2.7660435080179013e-05,2.3921450823157407e-05,1.1258318409090862e-05,2.1293454665283207e-05
2.2684649854909368e-05,1.1258318409090862e-05,2.1293454665283207e-05,1.7589884616124134e-05
2.3921450823157407e-05,2.1293454665283207e-05,1.7589884616124134e-05,2.795027326514669e-05
1.1258318409090862e-05,1.7589884616124134e-05,2.795027326514669e-05,1.846702462494755e-05
2.1293454665283207e-05,2.795027326514669e-05,1.846702462494755e-05,1.854375295806676e-05
1.7589884616124134e-05,1.846702462494755e-05,1.854375295806676e-05,3.025301703019068e-05
2.795027326514669e-05,1.854375295806676e-05,3.025301703019068e-05,2.1287458275764943e-05
1.846702462494755e-05,3.025301703019068e-05,2.1287458275764943e-05,2.1753188802146416e-05
1.854375295806676e-05,2.1287458275764943e-05,2.1753188802146416e-05,2.3033827756080423e-05
3.025301703019068e-05,2.1753188802146416e-05,2.3033827756080423e-05,2.4780197236395903e-05
2.1287458275764943e-05,2.3033827756080423e-05,2.4780197236395903e-05,2.6526566716711383e-05
2.1753188802146416e-05,2.4780197236395903e-05,2.6526566716711383e-05,3.176567515765783e-05
2.3033827756080423e-05,2.6526566716711383e-05,3.176567515765783e-05,3.0019305677342347e-05
2.4780197236395903e-05,3.176567515765783e-05,3.0019305677342347e-05,2.8272936197026867e-05
2.6526566716711383e-05,3.0019305677342347e-05,2.8272936197026867e-05,1.978338865834909e-05
3.176567515765783e-05,2.8272936197026867e-05,1.978338865834909e-05,2.240079575130949e-05
3.0019305677342347e-05,1.978338865834909e-05,2.240079575130949e-05,2.5923797466020915e-05
2.8272936197026867e-05,2.240079575130949e-05,2.5923797466020915e-05,2.4965661737041955e-05
1.978338865834909e-05,2.5923797466020915e-05,2.4965661737041955e-05,2.5018202844269888e-05
2.240079575130949e-05,2.4965661737041955e-05,2.5018202844269888e-05,1.7165981565388695e-05
2.5923797466020915e-05,2.5018202844269888e-05,1.7165981565388695e-05,2.763560993723028e-05
2.4965661737041955e-05,1.7165981565388695e-05,2.763560993723028e-05,2.4007526008063e-05
2.5018202844269888e-05,2.763560993723028e-05,2.4007526008063e-05,1.045138077205155e-05
1.7165981565388695e-05,2.4007526008063e-05,1.045138077205155e-05,1.6381143723265268e-05
2.763560993723028e-05,1.045138077205155e-05,1.6381143723265268e-05,1.7393650287650182e-05
2.4007526008063e-05,1.6381143723265268e-05,1.7393650287650182e-05,1.9707740126183058e-05
1.045138077205155e-05,1.7393650287650182e-05,1.9707740126183058e-05,1.5983478727287513e-05
1.6381143723265268e-05,1.9707740126183058e-05,1.5983478727287513e-05,1.225921732839197e-05
1.7393650287650182e-05,1.5983478727287513e-05,1.225921732839197e-05,1.2765470610584426e-05
1.9707740126183058e-05,1.225921732839197e-05,1.2765470610584426e-05,1.5079560449117303e-05
1.5983478727287513e-05,1.2765470610584426e-05,1.5079560449117303e-05,2.962169609261878e-05
1.225921732839197e-05,1.5079560449117303e-05,2.962169609261878e-05,2.1045779832462588e-05
1.2765470610584426e-05,2.962169609261878e-05,2.1045779832462588e-05,1.675782170238449e-05
1.5079560449117303e-05,2.1045779832462588e-05,1.675782170238449e-05,2.747771702757973e-05
2.962169609261878e-05,1.675782170238449e-05,2.747771702757973e-05,1.4613842637345442e-05
